id,target
2142,4
3846,0
6177,4
11779,0
1593,0
14748,2
11962,1
3464,0
12335,0
8760,0
7516,2
901,2
6254,3
2588,2
1471,1
3368,1
12929,0
913,0
4245,0
12917,2
14499,4
6833,0
5366,2
7432,0
8247,4
11905,2
11551,2
6156,1
1109,2
9402,2
10371,0
13591,4
14529,1
355,0
12893,0
8715,3
1520,0
9585,4
10131,4
3399,3
9207,4
6531,4
2897,1
11846,4
12614,1
2155,0
169,1
992,0
4027,0
10783,2
670,0
14809,0
4748,4
10629,4
11913,1
12869,4
8473,0
10590,0
3185,3
4653,0
9026,1
12369,0
13440,3
5341,4
4768,4
5348,0
13400,1
8962,0
68,0
8110,3
14990,1
5764,0
216,2
12418,0
650,4
4452,0
6605,4
13060,0
14260,0
9035,1
11182,4
3819,2
10739,0
6032,0
5645,3
14707,1
3196,0
13507,0
12679,3
3098,0
724,4
9872,0
7131,0
7062,0
667,0
6016,0
2953,2
5521,0
13518,0
3014,0
4949,4
573,0
9229,0
2197,1
5898,3
8616,3
13387,2
11591,0
12134,4
1864,1
2989,4
5894,0
10205,4
13194,4
4095,3
13195,0
210,0
317,3
10290,4
13670,4
5168,0
11039,0
11786,0
1912,0
12932,0
6135,2
12752,0
10200,1
11750,0
11020,4
6130,0
1521,2
4435,0
7522,0
138,2
6494,0
5067,0
11567,4
3164,2
5509,2
9992,2
2940,1
11612,2
8798,0
7055,0
2627,1
9572,0
11471,0
12360,1
4953,0
2737,0
12813,1
6344,1
6301,4
4997,0
11933,4
5183,2
5635,1
4211,2
14837,0
5601,2
9283,0
13083,4
13105,0
13969,0
3362,4
13265,0
11206,0
12636,1
11157,0
10855,0
3147,1
8262,4
14218,4
13120,3
10666,0
14045,4
4846,0
4454,0
1291,0
9206,1
12290,0
7618,0
8016,4
9261,0
10844,4
3499,3
2191,1
10621,0
5358,0
3036,1
11620,0
13890,0
11178,0
11441,4
6093,1
2982,3
10203,4
8943,0
9747,2
2016,2
8506,0
4989,3
1535,0
10699,4
6743,4
5173,0
4898,0
6572,2
12140,4
7861,2
14592,0
1187,0
12411,0
14502,1
7074,0
13646,1
4135,4
6351,3
7399,3
4699,2
1759,3
12839,3
6891,1
8651,2
100,4
3506,0
10193,1
8475,0
12315,0
7990,3
2066,3
14936,1
5691,0
3169,0
14935,0
11849,0
3775,0
4403,1
10069,4
10837,3
7993,0
3518,2
12782,4
12031,0
13168,3
174,0
663,2
8242,1
11395,0
3030,0
532,2
6982,3
1079,0
1304,3
8686,0
13627,0
5869,0
11984,2
5380,1
487,3
7352,0
2075,4
164,1
14517,0
12120,0
1907,0
3833,1
5226,0
13999,4
429,4
2521,1
3908,1
10447,0
7645,0
669,0
1571,0
12645,2
14715,0
9896,2
5526,0
83,0
4550,3
4061,0
15,2
14236,0
11399,1
8693,3
6901,2
7904,1
10843,4
14053,0
2921,1
3865,2
3496,1
3612,0
14941,4
7346,2
13844,4
14779,0
7438,0
10457,4
4359,2
3366,4
11646,2
7824,0
3614,0
8182,0
7214,0
4810,0
8940,2
12699,0
11810,0
9508,0
1942,0
9546,4
6136,4
14184,2
13230,3
613,0
9315,0
3508,1
1241,2
14851,0
5789,2
8606,2
11121,1
11952,2
7325,0
14532,2
463,1
7573,2
1541,2
6914,1
4686,0
12577,0
6087,0
3490,1
4482,1
1181,0
3915,4
2797,0
3361,4
14375,0
14952,0
7313,1
241,0
11428,4
7265,0
12847,1
6392,0
1984,0
9071,0
2122,0
10234,0
7357,0
11830,0
14868,4
10751,0
14390,0
3507,0
3921,4
458,1
9231,2
5002,4
3876,2
9370,1
14956,4
11401,1
14444,0
9697,2
3260,0
2235,2
7411,4
8045,0
5949,4
13769,1
1200,0
3815,4
14326,4
11907,0
6522,4
9940,0
1607,1
2992,0
14576,1
13158,1
9353,0
11339,4
9706,0
6440,4
2885,2
1232,3
1793,0
14312,0
5860,1
5479,4
11076,0
2755,3
6346,2
3666,2
5678,3
1006,0
8320,0
11276,0
1989,0
11023,1
8720,4
9529,0
4481,0
544,3
58,4
10344,0
556,0
11468,0
14058,0
6754,0
12831,0
11781,0
14693,2
5351,0
2929,0
14050,4
6447,0
10327,4
8286,4
8533,0
10497,0
8566,3
508,0
6487,0
14175,0
13321,0
4261,0
836,0
11079,0
10548,0
7581,2
8013,1
1666,4
1157,2
3935,0
11712,4
3667,3
2650,0
4639,4
9434,3
5272,0
2154,1
1155,0
12089,1
7895,2
435,0
3852,1
801,2
14795,1
12336,2
5783,4
1923,4
604,4
4146,0
4735,0
946,0
8296,4
9902,2
8975,0
3347,0
4150,1
14498,0
6677,3
14212,4
11179,2
11030,0
7514,0
6854,0
13699,0
1201,0
5171,0
9708,0
8459,0
14553,0
11004,0
12269,0
4023,4
13381,1
9700,0
1305,2
6083,1
7440,0
2971,0
5700,1
13538,0
13748,4
9904,2
6383,1
13218,2
11075,0
1320,0
9093,0
539,2
13753,4
9224,0
10727,2
3205,2
3986,4
9795,0
10137,3
7247,1
6162,1
11918,1
4635,2
13253,4
8521,2
13545,0
2790,3
10540,2
12648,2
5621,0
7660,0
2157,0
9877,0
9168,0
4514,0
6602,0
3234,2
12320,4
7536,0
8882,0
82,1
1792,0
10042,0
3912,0
8343,0
7733,2
4190,0
9669,0
4252,3
13389,3
8046,1
4527,2
4906,1
10770,3
2257,4
7246,2
5387,1
9049,0
5819,1
8561,0
11138,0
9419,0
13247,1
13156,0
2561,0
3596,0
12041,0
518,0
272,1
9467,2
13200,1
10332,0
6131,0
13884,0
13582,0
141,4
436,2
1124,0
103,1
6028,0
10379,0
10522,0
11932,0
3103,0
10791,0
1357,1
13797,0
13335,3
10631,0
9483,4
10115,1
10864,2
7763,2
9372,1
3429,2
30,0
1421,4
4346,2
12759,1
1614,1
14974,4
3525,1
1740,1
3603,2
13066,2
4075,0
129,0
12574,0
4345,0
9825,4
9927,0
1508,0
14741,1
2369,2
6389,0
13657,0
